sample-ids,micro-source,feature-id,condition
SRR7811020,feces,F_NC_12,NC
SRR7811021,feces,F_NC_11,NC
SRR7811022,feces,F_NC_14,NC
SRR7811023,feces,F_NC_13,NC
SRR7811024,feces,F_NC_16,NC
SRR7811025,feces,F_NC_15,NC
SRR7811026,feces,F_NC_18,NC
SRR7811027,feces,F_NC_17,NC
SRR7811028,feces,F_NC_20,NC
SRR7811029,feces,F_NC_19,NC
SRR7811031,feces,F_MCI_18,MCI
SRR7811032,feces,F_MCI_17,MCI
SRR7811033,feces,F_MCI_16,MCI
SRR7811034,feces,F_MCI_15,MCI
SRR7811035,feces,F_MCI_14,MCI
SRR7811036,feces,F_MCI_13,MCI
SRR7811037,feces,F_MCI_12,MCI
SRR7811038,feces,F_MCI_11,MCI
SRR7811039,feces,F_MCI_5,MCI
SRR7811040,feces,F_MCI_20,MCI
SRR7811041,feces,F_MCI_19,MCI
SRR7811058,feces,F_MCI_1,MCI
SRR7811059,feces,F_MCI_4,MCI
SRR7811060,feces,F_MCI_3,MCI
SRR7811061,feces,F_NC_3,NC
SRR7811062,feces,F_NC_4,NC
SRR7811063,feces,F_NC_1,NC
SRR7811064,feces,F_NC_2,NC
SRR7811065,feces,F_NC_7,NC
SRR7811066,feces,F_NC_8,NC
SRR7811067,feces,F_NC_5,NC
SRR7811068,feces,F_NC_6,NC
SRR7811069,feces,F_NC_9,NC
SRR7811070,feces,F_NC_10,NC
SRR7811079,feces,F_NC_21,NC
SRR7811080,feces,F_MCI_9,MCI
SRR7811083,feces,F_NC_25,NC
SRR7811084,feces,F_NC_26,NC
SRR7811085,feces,F_NC_27,NC
SRR7811086,feces,F_NC_28,NC
SRR7811097,feces,F_NC_29,NC
SRR7811098,feces,F_MCI_6,MCI
SRR7811108,feces,F_NC_30,NC
SRR7811111,feces,F_AD_10,AD
SRR7811112,feces,F_AD_9,AD
SRR7811113,feces,F_AD_6,AD
SRR7811114,feces,F_AD_5,AD
SRR7811115,feces,F_AD_8,AD
SRR7811116,feces,F_AD_7,AD
SRR7811117,feces,F_AD_2,AD
SRR7811118,feces,F_AD_1,AD
SRR7811119,feces,F_AD_4,AD
SRR7811120,feces,F_AD_3,AD
SRR7811121,feces,F_MCI_8,MCI
SRR7811126,feces,F_MCI_2,MCI
SRR7811132,feces,F_MCI_10,MCI
SRR7811133,feces,F_MCI_7,MCI
SRR7811134,feces,F_MCI_29,MCI
SRR7811135,feces,F_MCI_30,MCI
SRR7811136,feces,F_MCI_27,MCI
SRR7811137,feces,F_MCI_28,MCI
SRR7811138,feces,F_MCI_25,MCI
SRR7811139,feces,F_MCI_26,MCI
SRR7811140,feces,F_MCI_23,MCI
SRR7811141,feces,F_MCI_24,MCI
SRR7811142,feces,F_MCI_21,MCI
SRR7811143,feces,F_MCI_22,MCI
SRR7811154,feces,F_NC_23,NC
SRR7811155,feces,F_NC_24,NC
SRR7811156,feces,F_AD_30,AD
SRR7811157,feces,F_AD_29,AD
SRR7811158,feces,F_AD_24,AD
SRR7811159,feces,F_AD_23,AD
SRR7811160,feces,F_AD_22,AD
SRR7811161,feces,F_AD_21,AD
SRR7811162,feces,F_AD_28,AD
SRR7811163,feces,F_AD_27,AD
SRR7811164,feces,F_AD_26,AD
SRR7811165,feces,F_AD_25,AD
SRR7811176,feces,F_NC_22,AD
SRR7811177,feces,F_AD_15,AD
SRR7811178,feces,F_AD_16,AD
SRR7811179,feces,F_AD_17,AD
SRR7811180,feces,F_AD_18,AD
SRR7811181,feces,F_AD_11,AD
SRR7811182,feces,F_AD_12,AD
SRR7811183,feces,F_AD_13,AD
SRR7811184,feces,F_AD_14,AD
SRR7811185,feces,F_AD_19,AD
SRR7811186,feces,F_AD_20,AD
